,인덱스,분류,주소,위도,경도
203,201.0,부속기관,인천광역시 연수구 연수동 592 브랫슬 제2층 206호,37.41708558902809,126.67810490123713
204,202.0,부속기관,전북 고창군 고창읍 월곡리 681 대경빌딩 3층,35.43601856193343,126.7123128301432
205,203.0,부속기관,전북 고창군 고창읍 월곡리 681 대경빌딩 4층,35.43601856193343,126.7123128301432
206,204.0,부속기관,전북 정읍시 수성동 734-1번지 3층,35.56604039516829,126.85458292025513
207,205.0,부속기관,"전북 정읍시 수성동734-1,8번지 2층",35.56604039516829,126.85458292025513
208,206.0,부속기관,제주특별자치도 서귀포 서귀동 289-8번지 2층,33.25086398953039,126.5621592285116
209,207.0,부속기관,"창원시 성산구 상남동 95-6번지 1,2층",35.21775890506063,128.6844792753103
210,208.0,부속기관,"충남 논산시 중앙로 398번길 7-4, 2층",36.20042033958522,127.08977149461312
211,209.0,부속기관,"충북 제천시 고암동 496-3번지 2층,3층",37.158692556631834,128.23021279828367
212,210.0,부속기관,충북 제천시 신백동 185-3번지 대덕빌딩 3층,37.13194901152971,128.2286453428304
214,212.0,부속기관,충북 충주시 사직로 191 황금타운 4층,36.96956863823934,127.9323172405049
215,213.0,부속기관,충북 충주시 사직로 191 황금타운 5층,36.96956863823934,127.9323172405049
216,214.0,부속기관,충북 충주시 성서동 451번지 한양프라자 2층,36.97024320427022,127.9308656082528
217,215.0,부속기관,충북 충주시 성서동 451번지 한양프라자 3층,36.97024320427022,127.9308656082528
218,216.0,부속기관,충북 충주시 성서동 451번지 한양프라자 6층,36.97024320427022,127.9308656082528
219,217.0,부속기관,인천광역시 부평구 산곡동 369-306번지 늘샘프라자5층 6층7층,37.490652779842705,126.70493201337099
220,218.0,부속기관,경남 창원시 남산동 601-1번지 창남상가 201~207호,35.20395447348238,128.69336021776772
221,219.0,부속기관,김해시 대청동 304-2 위드3빌딩 7층 702호,35.19113651718783,128.80192309625167
222,220.0,부속기관,김해시 대청동 304-2 위드3빌딩 7층 703호,35.19113651718783,128.80192309625167
223,221.0,부속기관,"김해시 대청동 304-2 위드3빌딩7층 701호, 704호",35.19113651718783,128.80192309625167
224,222.0,부속기관,서울시 강남구 삼성동 124-8번지,37.509274855405835,127.0523398257789
225,223.0,부속기관,"경남 진주시 상대동 296-10, 3층",35.17916935498747,128.10384109530617
226,224.0,부속기관,광주 광산구 월곡동 538-2 부영아파트 상가 402호,35.16698245517957,126.80770207725793
227,225.0,부속기관,광주시 서구 양동 61-5 삼익상가 2층 12~21호,35.15151243936985,126.90617605210299
228,226.0,부속기관,"광주시 서구 양동 61-5 삼익상가 4층 1,2,3호",35.15151243936985,126.90617605210299
229,227.0,부속기관,김해시 외동 1257-2 메트로타워2차 5층 503호,35.232839528724206,128.86666878328694
230,228.0,부속기관,부산광역시 남구 대연동 539-15번지 3층,35.13299801037396,129.10089242526377
231,229.0,부속기관,전남 순천시 매곡동 38-10[중앙로 186] 3층,34.96226926488288,127.48486796156953
232,230.0,부속기관,강원도 고성군 간성읍 신안리 111외1필지 고성삼익레스타운 108동 1509호,38.37932373630883,128.47907373597872
233,231.0,부속기관,"강원도 속초시 교동 907-4번지 지상1,2층",38.20127613334805,128.57784814947817
234,232.0,부속기관,강원도 속초시 교동 908-10외 1필지 3층,38.20066078430396,128.5775197991096
